"Wins"	"Losses"	"WinPerc"	"FGM"	"FGA"	"FGPerc"	"FGM3"	"FGA3"	"FG3Perc"	"FTM"	"FTA"	"FTPerc"	"Oreb"	"Dreb"	"Assists"	"TO"	"Steals"	"Blocks"	"Fouls"	"OppFGM"	"OppFGA"	"OppFGPerc"	"OppFGM3"	"OppFGA3"	"OppFG3Perc"	"OppFTM"	"OppFTA"	"OppFTPerc"	"OppOreb"	"OppDreb"	"OppAssists"	"OppTO"	"OppSteals"	"OppBlocks"
"20131257"	29	5	0.853	25.9	58.1	0.446	5.8	17.6	0.33	16	22.5	0.711	13.6	23.9	15	12.7	10.7	4.2	17.7	20.5	52.7	0.389	5.5	17.6	0.312	11.5	17.8	0.646	12.1	21.8	10.3	18.7	5.8	3.5
"20141163"	26	8	0.765	24.4	54.4	0.449	7.1	18.4	0.386	16	21	0.762	10.1	25.3	12.6	11.7	7	6.2	18.3	21.9	56.6	0.387	5.9	17.9	0.33	13.4	20.1	0.667	12.7	22.2	11.5	12.9	5.9	3.3
"20151181"	29	4	0.879	28.6	57	0.502	7.6	19.6	0.388	15.8	22.9	0.69	12.2	25.2	15.5	11.2	7.2	3.8	16	25.1	58.5	0.429	5.2	16.2	0.321	10.2	14.6	0.699	10.8	20.3	12	12.6	5.7	3.2
"20161437"	29	5	0.853	26.6	56.9	0.467	8.6	24.9	0.345	15.2	19.5	0.779	9.3	26.4	16.1	11.1	6.7	3.4	17.5	22.5	56.2	0.4	7.1	21.1	0.336	11.7	17.6	0.665	10.6	23.1	12.9	13.9	5.9	2.2
"20031242"	23	7	0.767	30.2	62.3	0.485	4.8	14.1	0.34	16.1	24.1	0.668	14.3	26.9	16.7	14.9	10.1	4.9	16.7	24.6	60.5	0.407	6.6	18.3	0.361	10.5	15.3	0.686	11.5	22.5	11.9	17.3	6.8	4.4
"20041210"	23	9	0.719	27.4	58.4	0.469	7.2	19.4	0.371	15.9	23	0.691	11.4	26.1	15.8	15.5	8.8	4.8	21.2	22.8	58.9	0.387	5.7	19.4	0.294	16.1	24.3	0.663	14.1	23.2	12.5	17.3	7.3	3.5
"20051228"	32	1	0.97	28.2	57.6	0.49	8.7	21.8	0.399	12.4	17.2	0.721	11	23.4	18.6	11.1	7.6	3.4	15.5	21.9	53.3	0.411	6	16.5	0.364	10.3	15.5	0.665	10.3	20.5	12.3	15.3	4.7	2.4
"20061417"	27	6	0.818	24.4	50.8	0.48	6.3	17.6	0.358	13.5	19.2	0.703	10.9	22.1	14.1	14.5	5.6	2.8	16.2	21.6	51.4	0.42	4.8	13.7	0.35	11	15.4	0.714	9.8	18.1	11	14.3	4.9	2.8
"20071326"	30	3	0.909	26.3	55.7	0.472	7.5	20.5	0.366	13.6	19.6	0.694	11.2	24.5	15.6	11.8	6.8	5.9	13.6	22.8	57.3	0.398	6.6	21	0.314	8	11.7	0.684	11.6	21.3	12.5	14	5.1	2.5
"20081272"	33	1	0.971	28.8	61.8	0.466	7.9	22.7	0.348	14.2	23.9	0.594	14.1	26.7	16	12.2	8.7	6.1	17.4	21.6	56.6	0.382	4.9	16.3	0.301	12.5	18.5	0.676	11	23.2	10.6	16.6	5.9	3.2
"20091277"	26	6	0.812	25.4	55.8	0.455	5.2	14.6	0.356	16	23.3	0.687	14	24.9	15.9	14	6.4	2.8	19	21.8	52.5	0.415	6.5	20.2	0.322	12.9	18.6	0.694	8.8	20.2	11.6	13.9	5.7	3.2
"20101139"	28	4	0.875	22.7	50.2	0.452	6.8	19.8	0.343	17.9	23.9	0.749	9.2	23.6	12.8	12.4	6.8	2.5	18.5	21.2	51.1	0.415	5	16.2	0.309	12.7	18.3	0.694	8.8	20.4	10.5	13.7	5.2	3.1
"20111139"	22	9	0.71	24.7	55.8	0.443	7.5	20.6	0.364	15.6	21.5	0.726	10.9	24.1	12.4	11.3	5.9	1.5	19.2	22.5	52.5	0.429	6.2	19	0.326	13.7	20.7	0.662	9.1	22.6	10.6	12.6	5.4	2.9
"20111433"	23	11	0.676	24.3	55.8	0.435	8.2	22.8	0.36	14.8	20.6	0.718	10.9	21.1	14.2	11.6	8.5	3.7	18.2	24.6	54.4	0.452	5.6	15.8	0.354	12.6	18.5	0.681	12.1	23.7	13.4	14.9	6	3.6
"20121242"	27	6	0.818	26.7	54.9	0.486	6	16.8	0.357	15.7	22.5	0.698	11.1	25.8	15.6	13.3	7.4	5.6	17.6	21.1	55.1	0.383	6.2	17.7	0.35	13.6	18.9	0.72	10.3	20.7	11.1	14	6.6	3.1
"20131276"	25	7	0.781	27.7	57.6	0.481	7.3	19.6	0.372	11.7	16.5	0.709	10.6	24.3	14.1	9.2	6	2.8	13.1	23.8	56.5	0.421	6.6	19.8	0.333	8.8	12.9	0.682	10.2	22	12.5	12.1	5.2	3.1
"20141246"	24	10	0.706	25.2	55.8	0.452	5.1	15.6	0.327	20.5	30	0.683	14.6	26.5	11.5	12.2	4.8	6.2	19	23.2	57.5	0.403	5.4	16.9	0.32	14.9	21.7	0.687	11.3	20	10.4	11	5.8	3.1
"20151458"	31	3	0.912	25.3	52.7	0.48	7	19.5	0.359	14.3	18.8	0.761	9.5	24.2	12.7	7.4	4.5	3.5	12	21.8	52.1	0.418	5	13.9	0.36	7.5	11	0.682	7.5	20.2	8.9	10	4	2
"20161314"	28	6	0.824	30.8	64.3	0.479	5.4	17.1	0.316	15.3	20.7	0.739	14	26.9	18.1	10.9	6.9	4.4	17.9	24.7	60.2	0.41	7.7	21.4	0.36	12.5	17.9	0.698	11.4	21.3	11.3	13.1	5.8	3.1
